id,format,type,num1,operator,num2,answer,digits,has_carry,RAND’l,RAND(),RAND’l
1,h,sub,11,-,7,4,2-1,1,0.002564565,0.018900912,
2,h,sub,11,-,2,9,2-1,1,0.096009986,0.412935587,
3,h,sub,12,-,8,4,2-1,1,0.133249033,0.826775445,
4,h,sub,11,-,5,6,2-1,1,0.148359724,0.232068205,
5,h,sub,13,-,9,4,2-1,1,0.244192017,0.493499465,
6,h,sub,14,-,9,5,2-1,1,0.283607919,0.827970285,
7,h,sub,13,-,8,5,2-1,1,0.303843545,0.42906122,
8,h,sub,12,-,7,5,2-1,1,0.303941491,0.361692247,
9,h,sub,12,-,6,6,2-1,1,0.343084146,0.117613798,
10,h,sub,13,-,5,8,2-1,1,0.379926792,0.18227976,
11,h,sub,15,-,7,8,2-1,1,0.386180691,0.165469869,
12,h,sub,11,-,6,5,2-1,1,0.388644256,0.445651616,
13,h,sub,17,-,8,9,2-1,1,0.389235966,0.627015916,
14,h,sub,16,-,8,8,2-1,1,0.444492628,0.341276817,
15,h,sub,15,-,8,7,2-1,1,0.464743485,0.952612402,
16,h,sub,12,-,5,7,2-1,1,0.473789551,0.368500933,
17,h,sub,12,-,9,3,2-1,1,0.493220738,0.389754276,
18,h,sub,15,-,6,9,2-1,1,0.510356444,0.513609392,
19,h,sub,14,-,8,6,2-1,1,0.515506242,0.832879735,
20,h,sub,18,-,9,9,2-1,1,0.535260227,0.03574571,
21,h,sub,13,-,4,9,2-1,1,0.5893978,0.821359552,
22,h,sub,11,-,4,7,2-1,1,0.63972756,0.691202695,
23,h,sub,13,-,7,6,2-1,1,0.65169736,0.943305004,
24,h,sub,17,-,9,8,2-1,1,0.66898766,0.499910414,
25,h,sub,16,-,9,7,2-1,1,0.693356972,0.790400797,
26,h,sub,15,-,9,6,2-1,1,0.757326036,0.021438953,
27,h,sub,14,-,6,8,2-1,1,0.767630582,0.039894052,
28,h,sub,11,-,3,8,2-1,1,0.785786487,0.982336324,
29,h,sub,14,-,5,9,2-1,1,0.835048762,0.977042005,
30,h,sub,16,-,7,9,2-1,1,0.84254116,0.433716779,
31,h,sub,11,-,8,3,2-1,1,0.870596899,0.392746235,
32,h,sub,11,-,9,2,2-1,1,0.908745028,0.291584376,
33,h,sub,12,-,4,8,2-1,1,0.985176996,0.370573067,
34,h,sub,13,-,6,7,2-1,1,0.993136499,0.146837188,
35,h,sub,14,-,7,7,2-1,1,0.997033363,0.99937592,
36,h,sub,12,-,3,9,2-1,1,0.998987211,0.366738317,
