id,format,type,num1,operator,num2,answer,digits,has_carry
1,h,multiply,100,×,0.1,10,1-1,0
2,h,multiply,1000,×,0.1,100,1-1,0
3,h,multiply,10000,×,0.1,1000,1-1,0
4,h,multiply,200,×,0.1,20,1-1,0
5,h,multiply,2000,×,0.1,200,1-1,0
6,h,multiply,20000,×,0.1,2000,1-1,0
7,h,multiply,500,×,0.1,50,1-1,0
8,h,multiply,5000,×,0.1,500,1-1,0
9,h,multiply,50000,×,0.1,5000,1-1,0
10,h,multiply,100,×,0.2,20,1-1,0
11,h,multiply,1000,×,0.2,200,1-1,0
12,h,multiply,10000,×,0.2,2000,1-1,0
13,h,multiply,200,×,0.2,40,1-1,0
14,h,multiply,2000,×,0.2,400,1-1,0
15,h,multiply,20000,×,0.2,4000,1-1,0
16,h,multiply,500,×,0.2,100,1-1,0
17,h,multiply,5000,×,0.2,1000,1-1,0
18,h,multiply,50000,×,0.2,10000,1-1,0
19,h,multiply,100,×,0.5,50,1-1,0
20,h,multiply,1000,×,0.5,500,1-1,0
21,h,multiply,10000,×,0.5,5000,1-1,0
22,h,multiply,200,×,0.5,100,1-1,0
23,h,multiply,2000,×,0.5,1000,1-1,0
24,h,multiply,20000,×,0.5,10000,1-1,0
25,h,multiply,500,×,0.5,250,1-1,0
26,h,multiply,5000,×,0.5,2500,1-1,0
27,h,multiply,50000,×,0.5,25000,1-1,0
28,h,multiply,100,×,0.01,1,1-1,0
29,h,multiply,1000,×,0.01,10,1-1,0
30,h,multiply,10000,×,0.01,100,1-1,0
31,h,multiply,200,×,0.01,2,1-1,0
32,h,multiply,2000,×,0.01,20,1-1,0
33,h,multiply,20000,×,0.01,200,1-1,0
34,h,multiply,500,×,0.01,5,1-1,0
35,h,multiply,5000,×,0.01,50,1-1,0
36,h,multiply,50000,×,0.01,500,1-1,0
37,h,multiply,100,×,0.02,2,1-1,0
38,h,multiply,1000,×,0.02,20,1-1,0
39,h,multiply,10000,×,0.02,200,1-1,0
40,h,multiply,200,×,0.02,4,1-1,0
41,h,multiply,2000,×,0.02,40,1-1,0
42,h,multiply,20000,×,0.02,400,1-1,0
43,h,multiply,500,×,0.02,10,1-1,0
44,h,multiply,5000,×,0.02,100,1-1,0
45,h,multiply,50000,×,0.02,1000,1-1,0
46,h,multiply,100,×,0.05,5,1-1,0
47,h,multiply,1000,×,0.05,50,1-1,0
48,h,multiply,10000,×,0.05,500,1-1,0
49,h,multiply,200,×,0.05,10,1-1,0
50,h,multiply,2000,×,0.05,100,1-1,0
51,h,multiply,20000,×,0.05,1000,1-1,0
52,h,multiply,500,×,0.05,25,1-1,0
53,h,multiply,5000,×,0.05,250,1-1,0
54,h,multiply,50000,×,0.05,2500,1-1,0
